VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1392,CONSTELLATION BRANDS INC,16262,The Dreaming Tree Crush Red,7.18,11.99,750.0,19580.0,140584.39999999985,19425.0,238209.55000000185,90429.40999999885,2170.690000000024,79528.99,97625.150000002,40.982886706263976,0.9920837589376915,1.694423776749071
4692,KOBRAND CORPORATION,12181,Cakebread Chard,24.48,35.99,750.0,5742.0,140564.15999999995,5188.0,194360.12000000023,78452.05999999965,578.8699999999998,9139.38,53795.96000000028,27.678497008542813,0.9035179380006966,1.3827146265449195
2000,SOUTHERN WINE & SPIRITS NE,11970,Zaccagnini Montepulciano Rsv,7.71,18.99,750.0,18204.0,140352.84000000023,17962.0,264292.94000000163,98130.87999999887,2007.730000000019,19016.59,123940.1000000014,46.89497192017336,0.9867062184135355,1.883060862893841
4425,MARTIGNETTI COMPANIES,32263,Lindemans Bin 65 Chard,6.8,9.99,1500.0,20546.0,139712.79999999984,18623.0,191345.56999999998,68839.4499999991,4179.1700000000255,144929.24,51632.770000000135,26.984042536234387,0.906405139686557,1.369563633396512
4425,MARTIGNETTI COMPANIES,41321,Bogle Phantom Red Cal,10.94,16.95,750.0,12769.0,139692.86,12186.0,211854.54000000053,82585.1900000002,1361.0900000000047,144929.24,72161.68000000055,34.06189926352315,0.9543425483593077,1.5165738606826473
3252,E & J GALLO WINERY,7715,Andre Extra Dry,3.01,5.99,750.0,46400.0,139664.00000000035,45565.0,244003.85000000044,49625.869999998715,5112.900000000052,61966.909999999996,104339.8500000001,42.76155888523886,0.9820043103448276,1.7470776291671428
4425,MARTIGNETTI COMPANIES,43434,Phillips Earthquake Cab Svgn,15.58,25.99,750.0,8948.0,139409.83999999988,9063.0,220169.4500000007,106633.95999999912,1009.4800000000004,144929.24,80759.61000000083,36.68066119073312,1.0128520339740723,1.579296339483647
3960,DIAGEO NORTH AMERICA INC,2894,Scoresby Rare,12.94,17.99,1750.0,10762.0,139260.27999999985,10689.0,192295.11000000092,107436.2799999989,19642.790000000023,257032.07000000007,53034.830000001064,27.579916098750928,0.9932168741869541,1.3808324240049001
9552,M S WALKER INC,8413,St Elder Elderflower Liqueur,14.28,17.99,750.0,9731.0,138958.68000000014,9770.0,175762.30000000077,110710.45999999886,7696.749999999976,55551.819999999985,36803.620000000636,20.939427852275756,1.0040078100914602,1.2648529764387557
12546,JIM BEAM BRANDS COMPANY,1239,Booker's Bourbon,39.99,49.99,750.0,3473.0,138885.27,3550.0,181998.5000000003,140387.62999999986,2799.290000000004,123880.96999999999,43113.2300000003,23.6887831493118,1.0221710336884537,1.3104233443906637
